Address	R/W	Value	Soft	Hard	Hit	Evicted Page#	Dirty Evicted Page
8BED	0	88	0	1	0	1	0
09DB	1	252	1	0	0	-1	-1
8276	0	255	1	0	0	-1	-1
3CEA	0	54	1	0	0	-1	-1
1D38	0	123	1	0	0	-1	-1
A144	0	113	1	0	0	-1	-1
95CC	0	4	1	0	0	-1	-1
9748	0	1	1	0	0	-1	-1
B67E	1	1	0	1	0	1	1
5EF3	0	101	1	0	0	-1	-1
654C	0	168	1	0	0	-1	-1
54AE	0	38	1	0	0	-1	-1
F7B6	0	78	1	0	0	-1	-1
5184	0	169	1	0	0	-1	-1
EC58	0	118	1	0	0	-1	-1
6074	0	249	1	0	0	-1	-1
0721	0	251	1	0	0	-1	-1
82AB	1	183	1	0	0	-1	-1
FB6B	1	128	1	0	0	-1	-1
BFA1	0	1	0	1	0	1	0
63C4	0	86	1	0	0	-1	-1
278D	1	43	1	0	0	-1	-1
1181	0	159	1	0	0	-1	-1
A8DA	0	120	1	0	0	-1	-1
9299	0	158	1	0	0	-1	-1
820E	1	167	0	0	1	-1	-1
